STOP_ID, LONGITUDE, LATITUDE, OBJECTID
"6254",144.915979,-37.766236,15397
"6300",144.915971,-37.766101,15438
"6253",144.913409,-37.765992,15396
"6299",144.913231,-37.765863,15436
"6252",144.911054,-37.765752,15395
"6298",144.910944,-37.765633,15435
"6258",144.906311,-37.760838,15400
"6294",144.906507,-37.760346,15431
"45121",144.914291,-37.759628,16971
"6293",144.906844,-37.758441,15430
"6247",144.906806,-37.758188,15390
"6292",144.906792,-37.7579,15429
"6246",144.904504,-37.757715,15389
"6291",144.904065,-37.757572,15428
"7255",144.91879,-37.757481,16819
"6245",144.902072,-37.757419,15388
"20751",144.919796,-37.757229,6643
"6239",144.91454,-37.756838,15383
"6301",144.912616,-37.756615,15439
"18773",144.916636,-37.75656,5975
"6238",144.910806,-37.756412,15382
"6255",144.910596,-37.756219,15398
"51773",144.916715,-37.756183,17607
"6237",144.908611,-37.756175,15381
"51771",144.917919,-37.756159,17606
"18775",144.915845,-37.756042,5977
"18772",144.916584,-37.755991,5974
"6256",144.908514,-37.755984,15399
"18771",144.916576,-37.755883,5973
"51775",144.915808,-37.755743,17608
"6236",144.904821,-37.755729,15380
"6283",144.904654,-37.7556,15421
"6235",144.90292,-37.755506,15379
"18774",144.915804,-37.755464,5976
"6102",144.901996,-37.755291,13763
"6101",144.898998,-37.754931,13444
"6804",144.918149,-37.753604,13031
"6697",144.9179,-37.753573,10702
"27864",144.914435,-37.753286,8303
"45127",144.919465,-37.753231,16972
"7023",144.914222,-37.753201,15017
"7025",144.909646,-37.751669,15019
"7024",144.911895,-37.751592,15018
"6902",144.90921,-37.751409,13119
"10746",144.922279,-37.751217,329
"6901",144.912338,-37.751194,13118
"10547",144.923199,-37.751188,168
"10548",144.92131,-37.750974,169
"7027",144.906716,-37.750905,15020
"27854",144.737424,-37.766285,8292
"51389",144.737175,-37.766262,15671
"51387",144.739668,-37.754838,15669
"51388",144.739963,-37.754466,15670
"21341",144.744764,-37.754089,6921
"21342",144.745458,-37.754039,6922
"1418",144.75305,-37.753689,3439
"21344",144.749342,-37.7536,6924
"21343",144.749435,-37.75353,6923
"3249",144.752716,-37.753484,12725
"21340",144.740847,-37.752653,6920
"21339",144.740918,-37.752565,6918
"2144",144.740215,-37.751785,7171
"6662",144.739956,-37.751726,10674
"20278",144.751038,-37.75156,6448
"3248",144.750847,-37.751484,12724
"3247",144.749257,-37.74966,12723
"6663",144.739452,-37.749617,10675
"2532",144.739605,-37.749439,9195
"20280",144.749309,-37.749436,6451
"27871",144.73019,-37.747799,8307
"27880",144.730227,-37.7477,8317
"6749",144.736618,-37.747643,11232
"3246",144.748798,-37.74757,12722
"2533",144.736882,-37.747558,9196
"27870",144.733274,-37.747524,8306
"20282",144.748939,-37.747401,6452
"27881",144.73337,-37.747373,8318
"2538",144.745274,-37.746628,9201
"6754",144.745741,-37.746601,12997
"6753",144.74149,-37.745673,12996
"2537",144.741082,-37.745665,9200
"6750",144.735125,-37.745632,11234
"2534",144.735388,-37.745583,9197
"51876",144.749317,-37.745047,10397
"51865",144.749141,-37.744864,10387
"6752",144.73923,-37.744242,12995
"2536",144.738711,-37.744141,9199
"46045",144.73158,-37.743545,17178
"46041",144.731546,-37.743544,17174
"20284",144.737778,-37.743466,6454
"2535",144.736361,-37.74343,9198
"51875",144.749561,-37.743367,10396
"46043",144.735049,-37.743296,17176
"51866",144.749446,-37.743031,10388
"11389",144.735905,-37.742366,1052
"11366",144.735804,-37.741968,1033
"51384",144.739154,-37.737427,15668
"51873",144.748759,-37.736494,10395
"6234",144.89912,-37.755042,15378
"6290",144.901384,-37.757254,15427
"6911",144.89086,-37.748541,13127
"6249",144.905998,-37.762283,15391
"7035",144.890768,-37.748593,15027
"6295",144.906045,-37.762654,15432
"6297",144.9085,-37.765365,15434
"6251",144.908553,-37.765465,15394
"6289",144.89876,-37.756919,15425
"6100",144.896215,-37.754611,13443
"6244",144.898758,-37.757009,15387
"7036",144.889717,-37.748827,15028
"6912",144.889605,-37.748752,13445
"6233",144.895601,-37.754636,15377
"6296",144.906293,-37.765127,15433
"6250",144.906256,-37.765217,15393
"6913",144.887193,-37.748169,13446
"7037",144.887113,-37.748203,15029
"6099",144.89376,-37.754324,13440
"6232",144.893825,-37.754433,15376
"6307",144.905703,-37.765513,15440
"6260",144.905634,-37.76553,15401
"6243",144.89814,-37.759178,15386
"6288",144.89809,-37.759358,15424
"6098",144.891655,-37.754106,13439
"6231",144.891268,-37.754162,15375
"6241",144.897887,-37.760508,15384
"6287",144.897757,-37.760677,15423
"6097",144.888973,-37.753815,13438
"6169",144.888914,-37.753913,13783
