STOP_ID, LONGITUDE, LATITUDE, OBJECTID
"35313",143.860463,-37.533221,1721
"35300",143.860413,-37.532534,1709
"35312",143.861031,-37.530208,1720
"35301",143.860884,-37.530195,1710
"35311",143.861395,-37.528263,1719
"35302",143.861304,-37.528017,1711
"35093",143.856118,-37.536186,1554
"35059",143.855879,-37.535955,1536
"35310",143.862062,-37.524776,1718
"35303",143.861211,-37.525654,1712
"35309",143.861417,-37.523434,1717
"35094",143.851458,-37.535621,1555
"35058",143.851431,-37.535449,1535
"35305",143.857181,-37.525168,1713
"35308",143.85819,-37.522429,1716
"35223",143.849494,-37.534982,1640
"35236",143.849239,-37.534859,1651
"35306",143.854423,-37.524843,1714
"35307",143.854501,-37.523259,1715
"35096",143.847539,-37.535174,1556
"35057",143.847603,-37.535013,1534
"35222",143.849438,-37.530656,1639
"35237",143.849212,-37.53065,1652
"35221",143.8483,-37.526787,1638
"35238",143.84798,-37.526869,1653
"35097",143.843419,-37.534685,1557
"35056",143.843066,-37.534459,1533
"50323",143.841543,-37.532481,5974
"23170",143.841955,-37.531564,152
"35055",143.840432,-37.534145,1532
"35098",143.840255,-37.534312,1558
"50322",143.84076,-37.528784,5973
"41728",143.840662,-37.528692,4584
"35054",143.83638,-37.533649,1531
"35099",143.836247,-37.533844,1559
"50321",143.838228,-37.528482,5972
"35220",143.846694,-37.512274,1637
"35239",143.846375,-37.51205,1654
"50320",143.836387,-37.528126,5971
"35219",143.846079,-37.509149,1636
"35240",143.845802,-37.509007,1655
"35100",143.83197,-37.533315,1560
"51542",143.830886,-37.532997,6651
"50319",143.833734,-37.527199,5970
"35050",143.834191,-37.525761,1530
"35218",143.845342,-37.505697,1635
"35241",143.845008,-37.505319,1656
"35049",143.834585,-37.523663,1529
"50318",143.834242,-37.524014,5969
"51546",143.840035,-37.540343,6655
"35018",143.839212,-37.54106,2175
"50324",143.840814,-37.537706,5975
"50325",143.840562,-37.537501,5976
"35112",143.828462,-37.558431,1567
"35127",143.827969,-37.558571,1580
"35294",143.836614,-37.540963,1704
"35017",143.836657,-37.540757,2174
"35296",143.83461,-37.54072,1705
"35016",143.834517,-37.540501,2173
"35128",143.823207,-37.557713,1581
"35110",143.822723,-37.557105,1566
"35297",143.832043,-37.540417,1706
"35015",143.830195,-37.53998,2172
"35106",143.82032,-37.556121,1565
"35298",143.829015,-37.540047,1707
"48334",143.817612,-37.558868,6464
"48335",143.817517,-37.558974,6465
"48333",143.818646,-37.556914,6463
"35129",143.819123,-37.554737,1582
"35013",143.827527,-37.539656,2171
"35105",143.819719,-37.552969,1564
"48336",143.818095,-37.555484,6466
"35104",143.820029,-37.551275,1563
"35130",143.81978,-37.551268,1583
"35161",143.817351,-37.554888,1605
"35012",143.825489,-37.539412,2170
"35103",143.820823,-37.547224,1562
"35131",143.820581,-37.547073,1584
"35299",143.824411,-37.539491,1708
"35144",143.813687,-37.558546,1589
"48321",143.813602,-37.558409,6451
"45778",143.821554,-37.543333,4961
"35136",143.821164,-37.543998,1585
"40969",143.814927,-37.554138,3700
"35101",143.8219,-37.541586,1561
"35010",143.823057,-37.53913,2169
"35137",143.821686,-37.541309,1586
"35145",143.812831,-37.556595,1590
"35138",143.822345,-37.537777,1587
"35146",143.812502,-37.55527,1591
