STOP_ID, LONGITUDE, LATITUDE, OBJECTID
"22257",142.538871,-38.386392,98
"20358",142.475545,-38.385014,77
"20304",143.586653,-38.343378,26
"20297",143.783625,-38.328808,19
"20359",143.984134,-38.240135,78
"20349",142.911472,-38.236212,69
"20300",143.150928,-38.228901,22
"47641",144.306819,-38.215814,105
"20327",144.355057,-38.198549,48
"20344",144.358987,-38.158659,64
"20314",144.354989,-38.144242,36
"20334",144.352272,-38.122835,55
"20335",144.365321,-38.098377,56
"20305",144.379768,-38.072831,27
"20321",144.414404,-38.022428,43
"20323",144.498485,-37.962929,44
"47647",144.608732,-37.872886,107
"47648",144.694714,-37.832168,108
"52011",144.735748,-37.766145,110
"19981",144.650631,-37.729261,3
"48804",144.604108,-37.712546,109
"19980",144.572216,-37.703359,2
"22244",144.77418,-37.701129,89
"20290",144.436855,-37.687517,12
"20292",144.225448,-37.6043,14
"19998",144.728165,-37.579206,5
"20293",143.859457,-37.558791,15
"43469",143.820068,-37.539716,99
"20303",144.745373,-37.483498,25
"20337",144.679831,-37.465124,58
"20315",144.598722,-37.458825,37
"20294",143.382234,-37.427875,16
"44951",143.888124,-37.424605,100
"20325",144.561397,-37.423573,46
"20361",144.52589,-37.358799,80
"44952",143.781577,-37.303141,101
"20319",144.983566,-37.29321,41
"20288",142.936914,-37.282205,10
"20320",144.450602,-37.258279,42
"20326",144.375323,-37.18974,47
"47482",143.70564,-37.172899,104
"20301",144.213799,-37.062837,23
"45918",142.773538,-37.05924,103
"44953",143.742402,-37.050908,102
"20342",145.137729,-37.024729,62
"20317",144.24899,-36.794834,39
"20332",145.160357,-36.785464,53
"20296",144.283009,-36.76567,18
"20309",144.24838,-36.718525,31
"20618",142.200555,-36.707501,84
"47642",144.32104,-36.706342,106
"20331",145.240636,-36.613148,52
"20311",144.607758,-36.49502,33
"20617",142.032464,-36.45418,83
"20329",145.358215,-36.399128,50
"20343",145.406497,-36.383791,63
"20306",144.23112,-36.369233,28
"20338",144.698681,-36.36236,59
"20616",141.65389,-36.332222,82
"20310",144.753459,-36.130982,32
"20336",144.113133,-36.053113,57
"20318",143.924425,-35.733122,40
"20347",143.562343,-35.341114,67
"20291",147.627614,-37.82872,13
"20341",147.054805,-38.103103,61
"20346",147.081469,-37.967047,66
"20339",146.786966,-38.156404,60
"20351",146.537882,-38.198885,71
"20330",146.396753,-38.236719,51
"20328",146.260572,-38.176909,49
"20350",146.154773,-38.207242,70
"20362",146.063063,-38.203158,81
"20357",145.932674,-38.165229,76
"20287",146.924515,-36.084262,9
"20308",145.855947,-38.136452,30
"20360",146.871266,-36.105827,79
"20324",145.76686,-38.110992,45
"20299",145.720757,-38.099108,21
"20313",145.674225,-38.091031,35
"20302",146.611375,-36.155637,24
"20352",145.628234,-38.084996,72
"20333",145.571666,-38.081592,54
"20345",146.470417,-36.185893,65
"22252",145.486368,-38.080614,95
"20356",146.317038,-36.355101,75
"22251",145.345715,-38.040408,94
"20295",145.983915,-36.54455,17
"22250",145.209725,-37.989968,93
"22249",145.120534,-37.924683,92
"20353",145.715923,-36.638816,73
"22248",145.042525,-37.877459,91
"20312",145.568089,-36.749131,34
"22247",144.990164,-37.824074,90
"22238",144.966964,-37.818305,85
"20043",144.952525,-37.818334,8
"22239",144.94151,-37.80631,86
"22240",144.90202,-37.801413,87
"22253",144.916198,-37.756012,96
"22254",144.919613,-37.683049,97
"20029",144.943306,-37.601925,7
"20307",144.969555,-37.542575,29
"22241",144.832878,-37.788536,88
"17204",145.005372,-37.416861,1
"20316",145.028205,-37.371713,38
"20020",144.802188,-37.783065,6
"20355",145.026415,-37.354677,74
"19982",144.772304,-37.777764,4
"20289",145.229515,-36.893648,11
"20298",145.043008,-37.2072,20
"20348",145.102997,-37.092335,68
